,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-08-02,1177.69611282763,1182.271146810082,1170.9073643473816,1177.25341796875,10735395,441.9898988909283,455.3462174298525,441.9898988909283,445.9101867675781,22141163
2024-08-05,1162.937883324056,1169.7266310287719,1148.1797883580148,1153.689453125,14306771,437.6593419676077,448.4629384481495,437.20347706841375,443.08392333984375,25022076
2024-08-06,1156.0508158159441,1168.5459553164283,1142.768529846995,1148.0322265625,13575619,443.31185723274336,448.28060277815945,441.3061325083515,443.3574523925781,14251363
2024-08-07,1159.9371674712932,1160.7735557051485,1142.8669928495083,1153.5419921875,15753644,446.730673221321,451.83617488506997,444.99846182580694,449.14666748046875,11320399
2024-08-08,1148.13068131111,1155.4606080648502,1140.210574811538,1145.818603515625,10806438,450.3774947823807,454.02426944874264,449.00992900000904,451.0612487792969,21349889
2024-08-09,1157.5758097480823,1161.9047548052447,1150.1475206629223,1152.70556640625,8687307,454.02427391323624,454.02427391323624,449.55695973352357,452.1097106933594,9556181
2024-08-12,1162.0336803927066,1169.228167312303,1147.1485350418181,1163.8199462890625,10860455,448.5541002742936,455.84764972526483,448.5541002742936,450.92449951171875,9425644
2024-08-13,1174.1402001247322,1180.143923785119,1154.6903013699869,1159.4039306640625,13117927,452.15529444292224,453.8875348865262,445.1352579261627,446.730712890625,8056478
2024-08-14,1158.0642597488902,1161.090954297597,1144.1714580038308,1152.7552490234375,13431801,448.5085016768149,454.93597422607183,446.6395336172972,448.7364196777344,9609981
2024-08-16,1161.0412636212889,1183.8651517095705,1156.7245959708455,1178.1591796875,10961370,450.833335370804,459.67677341741495,449.1466901515516,458.2636413574219,13643352
2024-08-19,1181.8804727263328,1186.5941018157116,1164.3160506791048,1166.8961181640625,6686394,460.1782036565068,464.32640951224664,455.4829714833437,457.16961669921875,10591508
2024-08-20,1165.2091443736933,1180.6897926432184,1161.041352076898,1170.4189453125,10427061,456.7593562708698,458.9474326908904,453.7507692522604,454.7536315917969,6888634
2024-08-21,1167.9876876109618,1169.625077755297,1156.178781920312,1165.8541259765625,17234142,455.8476340497613,464.0529130177818,454.9815283328472,460.77081298828125,8801221
2024-08-22,1172.9494391539793,1183.468250844818,1167.5907626667606,1181.979736328125,8564142,463.0044670797505,463.5970596598946,457.16961601684477,459.9958801269531,8686423
2024-08-23,1183.8651886303296,1195.7733045260243,1179.449310773257,1194.2847900390625,7518309,460.45171515256504,462.18392662579055,455.80207815406663,461.135498046875,8195369
2024-08-26,1196.3191076607097,1205.647034605679,1191.8535643266057,1204.009765625,10920226,461.31782468341106,463.1412264870548,457.67104997039354,461.0443115234375,8126402
2024-08-27,1204.0098351320562,1223.0627726699063,1199.6435016150756,1216.9598388671875,16295325,462.73096622811397,462.7765613871338,455.84765750673535,456.3946838378906,8260450
2024-08-28,1213.2882407138438,1217.009527109644,1207.9792296829603,1214.47900390625,12291305,456.2123437617104,457.94458422323976,452.65675920109425,453.3861083984375,8081932
2024-08-29,1209.6164607584685,1225.5436144859966,1207.681440347739,1212.5439453125,10806748,454.0242455191415,462.86768300960847,453.43162407992503,460.4972839355469,19389694
2024-08-30,1220.5818867193016,1226.0894388087463,1209.5669036760319,1219.7879638671875,21211148,457.6254612839912,464.1896905333773,456.0300063539427,457.57989501953125,15523349
2024-09-02,1229.5129791826912,1229.7113993287953,1213.1393196536237,1220.5322265625,12516759,459.49445011058486,467.6085389871661,458.8562623710469,465.01019287109375,16497266
2024-09-03,1217.8033299887798,1241.371477184039,1211.055469999512,1238.1463623046875,19114907,465.0101951235504,470.3892102248928,463.0500656317912,464.4176025390625,12481552
2024-09-04,1230.3565014424944,1234.176997942738,1223.3605556490777,1226.88330078125,13505843,455.8476174113433,465.0101631809234,455.80205115060204,461.63690185546875,8739052
2024-09-05,1228.5206798050983,1235.3182053814185,1221.8720299114532,1226.486328125,9142811,463.4603086443522,466.6968425307686,462.27512346983656,466.05865478515625,11318636
