,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-03-19,136578.47361904322,136578.47361904322,131753.16905717982,132281.171875,13171.0,145.60388185237335,147.15699585010245,142.20645794248463,142.78887939453125,4552169,378.7904685589197,381.85385152171057,373.29582456558376,375.8729553222656,690174
2024-03-20,132281.47754704944,133636.39512675008,129225.24079685289,131117.59375,14354.0,144.19637005969932,145.50679601341386,140.5077356940148,144.6331787109375,3425260,375.872947733453,378.887717286157,364.73776056698244,365.6616516113281,758878
2024-03-21,131625.4017638502,132570.46047369187,130651.88193471801,131188.3125,10316.0,145.89508021287233,152.3987167554024,145.89508021287233,151.4280242919922,7424642,374.4141680191031,374.7545504711795,368.2387595719238,369.89202880859375,679221
2024-03-22,131304.38543306754,132351.13786221397,130107.99012160451,130908.53125,11040.0,151.3794913318789,151.52510409279455,149.58371910665545,150.45733642578125,4140139,369.7461951271308,376.1647006044624,368.14153907931814,374.0738220214844,475335
2024-03-26,131598.48105457533,131919.85646938224,130307.41802728738,131249.9375,7707.0,150.45733710828299,153.27233942631727,149.9719908595466,151.9133758544922,2617801,374.0737921239643,383.6529659028618,372.7609053163579,376.06744384765625,792698
2024-03-27,131603.4743347461,133441.84152298517,130869.68526572814,131413.453125,7985.0,152.15606012884177,156.18442836391546,152.15606012884177,154.34011840820312,4988003,379.179453523679,382.97221468696137,375.92155790039953,378.49871826171875,1374444
2024-03-28,132489.80949443526,133597.47211773982,131603.9784946098,132986.65625,10442.0,154.77690374992912,156.3785551334356,153.0781920111619,153.61207580566406,3011465,383.36125247638745,383.36125247638745,377.13720047416206,379.9088439941406,403470
2024-04-01,135586.48445585894,136578.4021057774,134150.8568077838,135311.65625,12671.0,154.3401123609411,158.51409320471902,154.29157477209398,157.98020935058594,6595976,385.50072881557435,387.4457375681034,376.0674541728951,378.4014587402344,773308
2024-04-02,135890.56897933755,137076.9476089413,134501.45742320488,136680.984375,7756.0,158.9994373491621,162.8822074196589,158.0287448315379,161.96005249023438,6532917,381.8052580127534,406.89586128040355,379.276740473898,398.48370361328125,4276054
2024-04-03,136786.86175669343,137141.74561810086,135591.46348668943,135781.59375,6928.0,162.78512127373335,165.93987174342428,161.4746953502012,165.16331481933594,6428941,398.67818253452714,405.92332235993274,397.75429150194543,401.3525695800781,1634449
2024-04-04,135988.27545055747,136705.36490287946,134695.17149551876,134954.34375,5388.0,168.94903042388512,169.87118532475827,165.60014430408685,167.10470581054688,12657686,403.6379345398632,405.1453341489921,388.1265073517461,392.5027770996094,1279535
2024-04-05,135282.38537652945,135691.15373089878,134095.96015287205,135057.65625,6537.0,166.76496337571146,166.76496337571146,163.31900226748203,164.8721160888672,3668629,392.25964368524717,396.3441442333062,388.02924373886464,389.2934875488281,462826
2024-04-08,134402.05558637055,135391.07573474327,130382.41649040113,132309.8125,15744.0,165.98841109245697,166.76496802479846,163.5616799361345,163.90142822265625,2213839,390.46051390985826,390.46051390985826,382.1942265668102,385.5979919433594,710169
2024-04-09,132520.7142490223,133587.20403354993,132280.53167065146,132524.40625,3764.0,164.0470329642962,164.9691878795877,160.74668437959215,161.76589965820312,3596130,385.11174551429656,402.03331627544105,383.16673669856783,393.76702880859375,1962303
2024-04-10,133098.95732129118,133485.7450098832,131852.71240255248,132281.015625,4292.0,162.05710567457132,164.87212273790837,161.42616149070858,164.09556579589844,2597748,394.30191941888097,397.65704177960436,387.9319978149357,395.6147766113281,802009
2024-04-12,132600.45675750572,132948.90682996245,131104.96288430074,131320.8125,4795.0,163.46461875795407,166.32817361681052,161.76590680311716,162.39686584472656,4717134,391.87064098355114,392.50276287741985,384.43095893897475,391.04400634765625,927562
2024-04-15,131004.78139963737,131004.78139963737,128781.97872435709,129054.953125,8752.0,158.70822999703938,161.862980746216,156.03882551696685,160.8922882080078,5710326,379.2767230534958,382.7777448943009,368.23879197252506,372.9554443359375,1526979
2024-04-16,128113.99063516676,130296.11897492872,127616.63760476628,129765.1640625,6799.0,159.63038637245398,160.60107891933615,155.50494304820478,156.8153839111328,4608165,370.6214427917172,378.1583520954017,369.7461947437595,373.0527038574219,1136346
2024-04-18,130357.18076005232,131108.0589534617,128616.32448004573,128843.2890625,4811.0,157.39778789384127,160.8437493393889,155.84468873201752,156.5727081298828,3932551,374.46278318837636,381.0271874648429,370.62140886330815,371.9342956542969,752877
2024-04-19,128533.72650737692,129131.97086572704,126929.66113599623,128769.6640625,6377.0,155.3108010139155,157.20364843895416,151.86483965410082,156.2329559326172,6833098,367.60667190077896,374.12246340639103,366.7314238557588,369.0168151855469,840733
