,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-07-05,399.31418163243075,403.96819211066986,398.0110563385377,403.6424255371094,13427543,1542.4088769403465,1586.755694667964,1536.6267221432645,1576.9532470703125,12269710
2024-07-08,405.0386270748445,413.78815742675266,403.64242981653535,412.9039001464844,21311436,1577.3255888697254,1596.9801663885871,1570.898185044045,1589.13818359375,9500806
2024-07-09,416.6271172393411,423.5150613210053,413.2762319022778,421.2811279296875,27489709,1585.8623208770043,1588.7410386525216,1568.887979750272,1578.5911865234375,6960002
2024-07-10,422.30497440394987,423.84082376971406,415.6032042617314,420.210693359375,12065662,1583.2814308954767,1585.7630632323035,1551.6654591589945,1572.5855712890625,7134578
2024-07-11,418.86102924280897,427.70366090287615,417.6509759051689,426.9124755859375,19556596,1575.8365135146928,1592.4634499565013,1558.9614138424095,1569.036865234375,11940946
2024-07-12,426.912503236289,431.19419667007304,424.3062524940008,427.2848205566406,19693114,1572.8586162043875,1593.3569240772113,1562.9320865975437,1584.9937744140625,12924784
2024-07-15,427.2847724121332,434.1727158121033,425.5627791871847,431.3337707519531,16876907,1592.6620057625546,1594.0517441522056,1573.8512804915936,1585.4901123046875,5329688
2024-07-16,431.3803035660824,434.4519728201184,429.47216640057155,433.3349914550781,13497253,1581.792452589091,1588.24469666931,1557.5965372882695,1564.669189453125,9386838
2024-07-18,430.9614860880629,438.31481926756675,430.63569000741666,437.70977783203125,21907158,1564.4210812674708,1582.1895936713806,1546.3795650620239,1575.0177001953125,12298374
2024-07-19,438.40785446446665,446.2266057465609,436.9185558631909,441.7121887207031,25939326,1574.3475621142547,1578.293333314245,1541.3915329908289,1543.7242431640625,13140390
2024-07-22,441.75876374646487,446.27315152086356,433.614245462781,434.26580810546875,18762384,1525.9557698439748,1526.203933085127,1488.2597977476694,1489.6495361328125,19674376
2024-07-23,434.26580514596367,462.9810529532946,434.12618247349457,458.140869140625,56125835,1489.9719903646578,1494.6870915999891,1452.2511804820083,1476.96826171875,18052044
2024-07-24,461.67791921290376,475.3141836420076,456.69814231888404,459.86285400390625,43693692,1474.0895996286229,1498.4095963901725,1465.552808673545,1484.7109375,11913362
