,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-11-28,4099.2955217974695,4119.179995477792,4017.670281030027,4028.96484375,2558544,443.99271290031436,450.322166155722,437.9890262279885,442.03802490234375,14967609,1504.5879512686056,1528.5124940183546,1485.3984742714113,1519.8564453125,4793631
2024-11-29,4005.331099119542,4080.027862103414,3982.219676510733,4053.594482421875,2017425,440.4556457729167,445.7612189514994,439.897155069963,443.760009765625,8668142,1532.832129356048,1564.6650790034546,1524.026649564973,1552.0216064453125,6712614
2024-12-02,4052.7884705955157,4070.0628363390956,4014.8705101832115,4059.10009765625,1670944,443.061911581005,446.1335515529355,440.6418342849228,444.1788635253906,5689595,1548.4496487541414,1557.7203362719627,1505.784164523343,1516.5003662109375,4738488
2024-12-03,4094.8823237874603,4104.990473536637,4048.469923029549,4083.872314453125,2010905,433.75385818828863,440.641801753041,430.72873966665543,439.8506164550781,23073942,1519.2085374903768,1536.4874153118467,1492.791853603569,1499.8695068359375,3827790
2024-12-04,4094.122934068909,4163.789504813234,4070.8692297125376,4132.89501953125,3302642,441.5726121335174,445.10964113217466,434.1261778472117,434.7777404785156,13957078,1507.3459378990085,1526.8510708007996,1490.4990471098859,1519.2252197265625,4303485
2024-12-05,4176.933797590591,4260.647302659025,4138.209454130842,4236.96630859375,3746747,435.1966056549393,440.0367598846573,430.49604459546777,435.1500549316406,27432375,1528.1801764331847,1744.4979183027224,1525.688036549895,1726.18896484375,35839431
2024-12-06,4226.4788315167725,4237.868399443609,4188.276322428843,4219.3603515625,1842087,437.4770547274369,442.0845437835551,435.33622297900996,438.5474853515625,7842234,1754.948279727409,1809.2936016285664,1743.3682253431157,1793.1611328125,18892569
2024-12-09,4205.076018232145,4242.044378496654,4190.933600979431,4225.671875,2066639,438.8732783278562,439.3386970836674,430.9149332516241,432.7765197753906,12154116,1786.698186078574,1863.4394230811947,1764.40180890796,1816.6370849609375,12259188
2024-12-10,4200.995479380061,4265.204089616263,4187.66037612314,4207.06982421875,2087828,433.14884089608387,434.1727207984002,430.5891116404687,433.2419128417969,9163636,1823.2495990427942,1839.4318377675756,1778.4077507103143,1816.387939453125,7254930
2024-12-11,4206.405086397892,4222.350297163338,4182.819095248504,4202.22900390625,1635256,434.8708208734233,435.801628864771,432.543815644967,433.0557556152344,7005617,1813.945574277946,1853.7865934215827,1803.329155343203,1844.91455078125,4759470
2024-12-12,4204.696352489294,4256.851270827812,4200.852558457947,4228.330078125,1914642,433.28847754716475,435.5223813153135,427.37786305689633,428.7275390625,13380617,1857.3587300851548,1899.9078834382183,1851.5104757419656,1864.353271484375,6046395
2024-12-13,4209.347553772588,4266.247663475759,4170.8600242636485,4246.31591796875,1967048,428.1690601754377,441.5726306530016,420.39685899742756,437.4770812988281,32976794,1862.4592443447177,1878.7411437708356,1821.2558244303532,1872.4111328125,5323011
2024-12-16,4232.174776302126,4247.360871036558,4173.3286592062,4190.60302734375,1646224,437.7097825910721,441.572637375938,435.6155014062847,437.5701599121094,9354160,1879.0735535159495,1905.971994369421,1867.4436074515884,1881.9976806640625,4867221
2024-12-17,4185.666657040545,4207.449393387959,4098.346627007046,4108.3125,3225027,437.47709558325016,442.8757409311339,431.0080195112737,437.0582275390625,20608409,1884.7887214907473,1916.2894669448826,1878.7578159888992,1903.297119140625,4324800
2024-12-18,4092.3672387441043,4140.108330075579,4071.3913564877716,4126.67822265625,1575404,439.99023417228676,441.0141140758129,434.59155981753815,437.9424743652344,12841386,1909.6437449936273,1911.0725881330418,1848.1709996974712,1871.5804443359375,4058544
2024-12-19,4064.177621267067,4142.006337975124,4045.1950074358338,4054.59130859375,3015763,436.5462626049631,441.52606912403894,433.10230549351394,434.26580810546875,15161531,1827.569356243964,1928.1022585356643,1812.6165163883857,1924.413818359375,5990652
