,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
,Open,High,Low,Close,Volume
Date,,,,,
2025-11-03,157796.88605077038,159636.84974109623,157796.88605077038,158356.875,3088
2025-11-04,159146.86630762595,159491.85951451334,157546.89781191622,157911.890625,3650
2025-11-05,157911.890625,157911.890625,157911.890625,157911.890625,0
2025-11-06,158951.85701120395,159436.84742138567,156801.89952276956,157251.890625,3826
2025-11-07,157881.892321198,159296.86446949895,155661.93601785658,158761.875,3830
2025-11-10,159496.8576251386,159501.85752663156,157316.90057421193,157821.890625,3056
2025-11-11,158616.86601017925,158691.86452834067,157216.89367116618,158161.875,2691
2025-11-12,158361.87899748454,159316.86017667566,157296.89998613534,157771.890625,3575
2025-11-13,158296.87529608692,159296.85555695923,157996.88121782523,158311.875,3192
2025-11-14,158471.86938879843,159696.84518940595,156216.91393543518,157396.890625,14236
2025-11-17,158496.87937521876,158986.8697278614,156746.9138300665,157131.90625,4449
2025-11-18,157496.89231525033,157506.892117937,154646.94854954578,155206.9375,6029
2025-11-19,155596.92437481662,155651.92328767403,153096.97379038832,153351.96875,4529
2025-11-20,153496.96939782822,154496.94965449162,151502.0087857848,151947.0,5220
2025-11-21,152500.0,154750.0,152000.0,152435.0,7022
2025-11-24,153000.0,157450.0,151810.0,155455.0,13719
2025-11-25,155000.0,155200.0,153655.0,154780.0,3067
2025-11-26,155200.0,155700.0,153515.0,154490.0,3665
2025-11-27,155000.0,155000.0,153405.0,153750.0,2344
2025-11-28,153750.0,153905.0,152000.0,152420.0,3564
2025-12-01,152500.0,153000.0,151600.0,152420.0,3132
2025-12-02,152445.0,155695.0,152445.0,154505.0,7318
2025-12-03,154500.0,154665.0,151750.0,152040.0,3887
2025-12-04,153000.0,153995.0,151735.0,153625.0,3170
2025-12-05,153650.0,154300.0,152800.0,153210.0,2243
2025-12-08,153300.0,155000.0,152240.0,153500.0,2444
2025-12-09,153490.0,153490.0,151600.0,152345.0,3580
2025-12-10,152820.0,153135.0,151000.0,151675.0,3400
2025-12-11,152300.0,153950.0,150300.0,153560.0,3905
2025-12-12,153610.0,153700.0,152000.0,152550.0,2546
2025-12-15,152550.0,153400.0,151160.0,153155.0,2843
2025-12-16,152500.0,153355.0,152400.0,152655.0,1967
2025-12-17,152700.0,153295.0,151120.0,151755.0,2903
2025-12-18,153000.0,153000.0,151330.0,152260.0,4410
2025-12-19,153000.0,155385.0,152260.0,153580.0,8953
2025-12-22,153930.0,154260.0,153400.0,153900.0,2771
2025-12-23,154880.0,154880.0,153025.0,153360.0,2988
2025-12-24,153400.0,153885.0,151025.0,151435.0,4115
2025-12-26,152200.0,152295.0,150000.0,150205.0,3539
2025-12-29,151000.0,151000.0,148000.0,148760.0,6672
2025-12-30,148800.0,155205.0,148170.0,151090.0,8688
2025-12-31,151505.0,153460.0,151500.0,152855.0,6063
2026-01-01,152500.0,153115.0,151220.0,151535.0,2867
2026-01-02,151600.0,151960.0,150470.0,150685.0,3834
2026-01-05,150750.0,151765.0,149700.0,150405.0,4627
2026-01-06,151585.0,151585.0,149625.0,150195.0,3349
2026-01-07,150205.0,150600.0,149550.0,150135.0,3436
2026-01-08,150250.0,150255.0,148100.0,148720.0,4338
2026-01-09,148500.0,149725.0,146520.0,147095.0,4120
2026-01-12,147795.0,149500.0,145340.0,148735.0,4581
2026-01-13,149395.0,149745.0,147115.0,147710.0,3618
2026-01-14,148000.0,148005.0,145305.0,145665.0,5287
2026-01-16,145600.0,145665.0,142535.0,142840.0,8096
2026-01-19,143000.0,145135.0,141505.0,143045.0,5832
2026-01-20,144000.0,144000.0,141750.0,143235.0,6432
2026-01-21,142900.0,142900.0,137740.0,140050.0,10269
2026-01-22,140200.0,142800.0,140200.0,142275.0,5051
2026-01-23,142675.0,142850.0,136800.0,137475.0,7285
