,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-21,1051.6919782743073,1067.4581418231853,1042.9785726603923,1051.646484375,12836561,3177.82342259873,3229.7575276974712,3163.4096138189643,3200.5751953125,2340989,1616.7682752217947,1649.9833924806546,1616.7682752217947,1626.283935546875,5353584,684.680119510879,690.0310409033746,680.1615636683271,685.7741088867188,9118750,698.4139958824675,707.0956817001196,694.6794447254889,698.7534790039062,14563335
2021-12-22,1057.8573860824001,1079.2430094666254,1056.5379426212896,1076.6038818359375,17658543,3214.501007023342,3225.8546962749856,3198.756693316205,3220.48828125,1224328,1638.3129346501346,1642.0384352948865,1626.956935405642,1638.0435791015625,4156428,690.7683077733328,692.5281431543909,682.8726794724645,687.3912353515625,8577484,704.4767059838692,712.9158880033236,698.4625728662525,710.830322265625,9843359
2021-12-23,1080.19860357355,1082.9287192621239,1072.941242613357,1076.21728515625,9072401,3235.788728737679,3255.746307245518,3219.8226659314073,3248.82763671875,1792861,1643.9237215129017,1671.1690702162794,1640.108471920312,1667.5782470703125,4112933,691.2201363483402,693.3843100083218,683.419670419144,686.8680419921875,9779166,716.8929569013119,717.3294775522406,706.1257632733157,709.3753051757812,9994049
2021-12-24,1078.3785179602155,1088.3887407376528,1063.6133400712515,1079.652587890625,7886494,3268.60815531731,3286.3482267165896,3232.950655115478,3256.101318359375,2209923,1681.357909134367,1683.871529020571,1664.346429323811,1672.8746337890625,3780347,687.5340324330864,690.6256763008242,679.2103758660999,684.3948364257812,5561024,711.8973889628089,711.8973889628089,698.0260616918899,705.3012084960938,8800690
2021-12-27,1074.5337382222722,1082.0186888381238,1068.413845410363,1078.4923095703125,4017223,3256.189497072043,3281.9125957958486,3240.3122227570516,3278.453369140625,1534135,1669.732749649534,1682.7494834505653,1656.3120920810711,1675.253662109375,2647733,679.6383983110893,691.5768872980073,676.4278453611157,690.0548706054688,4705098,702.2941526330036,716.6019409635793,694.6309745229842,713.9343872070312,7955163
2021-12-28,1080.9264873926504,1094.2356191315223,1079.766272622182,1091.30078125,6374613,3290.7825304509693,3304.08758111317,3276.4575125260903,3287.722412109375,1456218,1688.3151125796455,1701.960305344771,1686.2504551628035,1694.868408203125,3340933,694.7636080671955,697.7125951282051,691.2914894785592,694.8112182617188,5450678,718.2024817946877,720.1910099848699,710.539303845837,713.7403564453125,17833655
2021-12-29,1087.9338625439977,1100.674201497558,1083.8841830224792,1093.16650390625,15425312,3275.038310757247,3299.608261679854,3268.6075360932914,3277.21142578125,1456923,1690.828848757635,1700.0752621912457,1684.4551595905639,1692.669189453125,3236635,692.5519915154243,694.906373869757,688.4377156088801,691.5055541992188,7668702,715.8744046334617,722.6160521279113,709.9573092528904,713.6433715820312,7143073
2021-12-30,1092.02896140955,1094.2812707813944,1067.276305271878,1073.4189453125,29333171,3265.370227080346,3317.3928926389353,3264.1726858051557,3311.84912109375,1966475,1691.726590549719,1714.438591263301,1682.6148547067908,1699.222412109375,4584738,693.7173135335258,697.6888751595437,687.2962071004079,695.1442260742188,7215918,711.3153010555776,718.2994534296456,707.1442289672,713.6433715820312,14326182
2021-12-31,1079.7434360590707,1084.7029927285153,1073.8282668882819,1077.53662109375,9477290,3319.8770542748616,3335.1334725940915,3309.676513068789,3315.929931640625,1207141,1696.6638809222288,1704.1597020773836,1680.191002196057,1694.64404296875,4619420,695.1442190705774,706.2265962494574,695.1442190705774,703.6581420898438,6325736,714.4679159315479,723.8771177792522,714.4679159315479,717.9600219726562,6973055
2022-01-03,1076.1033704774222,1095.6461284145312,1075.4435886178533,1093.780517578125,5421611,3326.2631779342787,3397.2234590635435,3321.8281603636997,3386.357666015625,2346158,1694.6441036073452,1718.2538096972232,1694.6441036073452,1704.24951171875,3329616,706.3216999908345,724.3959253104654,704.1813312029835,722.8025512695312,9069184,720.772979859294,743.034939294085,720.7244907252026,741.77392578125,9653095
