,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,LTF.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS,CMSINFO.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2002-12-23,851.7433640634948,859.898353719422,838.2876532530404,846.8050537109375,1842.0,,,,,,,,,,
2002-12-24,859.8529400699833,859.8529400699833,824.5599508912543,835.614501953125,730.0,,,,,,,,,,
2002-12-25,835.614501953125,835.614501953125,835.614501953125,835.614501953125,0.0,,,,,,,,,,
2002-12-26,844.4495118975916,844.4495118975916,825.4664898998989,828.1395263671875,384.0,,,,,,,,,,
2002-12-27,826.3725013093575,833.6213828997905,797.3769749476257,810.9686279296875,906.0,,,,,,,,,,
2002-12-30,815.4990977337699,825.7381308999572,809.2016214181335,811.1497802734375,754.0,,,,,,,,,,
2002-12-31,807.3441188519886,824.560211173187,807.3441188519886,823.7446899414062,360.0,,,,,,,,,,
2003-01-01,828.9096945737541,828.9549890280119,815.7258007188592,822.8840942382812,120.0,,,,,,,,,,
2003-01-02,828.954803707731,828.954803707731,810.9685403262348,815.4537963867188,343.0,,,,,,,,,,
2003-01-03,812.8712849973314,819.9389874680829,810.0623660289015,811.7386474609375,126.0,,,,,,,,,,
2003-01-06,824.3337277036286,824.3790221512434,797.5128887756898,806.9364013671875,135.0,,,,,,,,,,
2003-01-07,815.4990989576037,815.4990989576037,806.4379978580747,808.4767456054688,108.0,,,,,,,,,,
2003-01-08,806.4380837747918,816.4052960461656,792.8464306774639,797.6488037109375,371.0,,,,,,,,,,
2003-01-09,813.5507753791329,813.5507753791329,795.7004540708867,801.408935546875,147.0,,,,,,,,,,
2003-01-10,798.2829552121297,806.4379456740016,795.7911525710022,798.8265991210938,188.0,,,,,,,,,,
2003-01-13,797.5583383970715,797.5583383970715,795.7914121597107,796.60693359375,32.0,,,,,,,,,,
2003-01-14,798.2831879489823,798.2831879489823,797.3770776334898,797.8754272460938,131.0,,,,,,,,,,
2003-01-15,797.3769748930629,805.2601446830348,792.8464238993522,803.5385131835938,285.0,,,,,,,,,,
2003-01-16,792.8462946329486,805.2147189510499,792.8462946329486,803.0853271484375,215.0,,,,,,,,,,
2003-01-17,801.8168253165824,801.9074142020089,792.8463134765625,792.8463134765625,66.0,,,,,,,,,,
2003-01-20,794.6585993635416,797.3769298060623,783.785277593459,788.0440063476562,2148.0,,,,,,,,,,
2003-01-21,797.3767175882632,797.3767175882632,779.2545194612572,790.943359375,743.0,,,,,,,,,,
