,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-04-03,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292,3611.5088559037185,3733.4242418469757,3611.5088559037185,3701.820068359375,3973090,1392.4561704804448,1407.6140544217724,1388.6902308713024,1394.0096435546875,8736248,716.450076374618,727.9115494819865,716.109420115624,721.414306640625,45584386
2024-04-04,1468.878217464342,1468.878217464342,1439.3467919062653,1452.1768798828125,14490272,3728.6414957560305,3778.1110105154908,3690.519582126367,3754.337646484375,3394637,1403.3302528566012,1408.1318024819914,1382.0997240670574,1399.7054443359375,11186915,731.9754091764817,744.6292393883092,731.9754091764817,743.461181640625,88935066
2024-04-05,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298,3730.6111838217394,3753.118641944344,3714.19949560734,3731.783447265625,1636819,1393.4446504316754,1399.7054325276108,1389.678711160811,1392.5501708984375,5072482,749.0093625181328,756.5529915753328,744.7022055513205,754.1439208984375,59055902
2024-04-08,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118,3735.300320958678,3781.862534405873,3713.7306731098083,3725.500244140625,2302538,1396.2220500141934,1403.706808694374,1387.8428117589144,1390.2906494140625,6610887,756.7720051664586,757.8914061879058,750.2504634550537,752.7081909179688,20482940
2024-04-09,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414,3736.237662579727,3766.1070236289547,3680.953770065772,3701.11669921875,1876992,1402.8124833871761,1425.2198696967855,1400.2705201600338,1407.378662109375,9423230,756.7233110790663,756.7233110790663,749.6420692068525,753.6572265625,21884494
2024-04-10,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330,3710.3540167302876,3742.0520629416483,3674.342178842318,3736.84716796875,2101965,1412.5568699403645,1421.5009766373323,1397.681477232349,1418.6295166015625,6744595,754.3142814277871,754.3142814277871,746.0649220391629,747.7196655273438,27807400
2024-04-12,1465.031599863232,1475.5536963762681,1452.3255942645226,1456.3707275390625,15551012,3724.0460679227617,3763.762440285618,3700.131896496917,3752.555419921875,4354821,1415.993088588146,1418.6292919048578,1392.926711812608,1397.8695068359375,12275616,740.2490112702176,744.5561681914903,736.5745101656407,739.2512817382812,41084208
2024-04-15,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062,3752.5557696224905,3811.4503293550783,3675.32719325435,3696.099609375,4200329,1393.397662027,1404.6483606920185,1375.5565690145563,1382.2410888671875,8531224,728.8361984614614,734.8954117012732,726.1594270943376,727.4490966796875,23415248
2024-04-16,1442.6721581376476,1460.3662698899807,1440.265047408789,1454.9810791015625,9366184,3659.3369041610003,3684.37640099917,3622.6217113263556,3631.952880859375,3051420,1366.0944202615754,1370.0016050968616,1330.3651187142993,1331.68310546875,16173541,723.7016987771374,736.3068713842836,721.3899415012858,734.5304565429688,20744886
2024-04-18,1452.7475160786112,1475.0822062813913,1448.6279823176308,1453.56640625,19005692,3635.7043503536142,3691.222694685396,3610.5709793035503,3621.82470703125,3476284,1337.9441165902024,1360.1631363842591,1325.1399454315383,1336.202392578125,22107945,734.7980983246009,739.2025682918519,725.6727413912242,727.4490966796875,34234884
