,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-12-10,4200.994504227562,4265.203099559396,4187.659404066042,4207.06884765625,2087828,926.3288062229569,926.3288062229569,916.881553393078,921.5928344726562,13325480,433.14884089608387,434.1727207984002,430.5891116404687,433.2419128417969,9163636
2024-12-11,4206.404597631399,4222.349806544079,4182.818609222603,4202.228515625,1635256,918.4354833328279,923.4675021564423,915.9935158212785,919.1261596679688,14045426,434.8708208734233,435.801628864771,432.543815644967,433.0557556152344,7005617
2024-12-12,4204.696352489294,4256.851270827812,4200.852558457947,4228.330078125,1914642,913.1568815747593,921.864197216933,912.0221946944998,917.2268676757812,17293790,433.28847754716475,435.5223813153135,427.37786305689633,428.7275390625,13380617
2024-12-13,4209.348037802869,4266.248154048947,4170.860503868272,4246.31640625,1967048,918.8301759997277,924.9968214762359,902.4268990322158,923.3934936523438,19009002,428.1690601754377,441.5726306530016,420.39685899742756,437.4770812988281,32976794
2024-12-16,4232.173296926788,4247.359386352853,4173.327200400781,4190.6015625,1646224,920.1128492893367,922.5054957499956,915.2535445762154,920.1621704101562,13107082,437.7097825910721,441.572637375938,435.6155014062847,437.5701599121094,9354160
2024-12-17,4185.666159565598,4207.44889332409,4098.346139910261,4108.31201171875,3225027,915.7962178924912,918.7562078618506,901.0702798391582,904.4002685546875,21079532,437.47709558325016,442.8757409311339,431.0080195112737,437.0582275390625,20608409
2024-12-18,4092.3677229655736,4140.108819945921,4071.39183822731,4126.6787109375,1575404,902.7228866518356,905.7568882727958,891.5242825465077,893.2755737304688,23422312,439.99023417228676,441.0141140758129,434.59155981753815,437.9424743652344,12841386
2024-12-19,4064.177621267067,4142.006337975124,4045.1950074358338,4054.59130859375,3015763,887.7995941182149,888.5395915672278,877.6369745293333,884.790283203125,25380770,436.5462626049631,441.52606912403894,433.10230549351394,434.26580810546875,15161531
2024-12-20,4108.786899056221,4159.090827365295,3941.265326479778,3958.15966796875,4116989,879.2156362475025,886.7883251977108,871.7417099804251,873.93701171875,25692348,434.21927834206105,435.1035651496871,427.51750769365964,432.497314453125,20231570
2024-12-23,3986.3959798160035,4002.4839296244636,3905.577598089669,3946.769775390625,2195338,879.1169941259847,890.956953642833,878.7716860618692,888.4902954101562,11044592,438.5940686151742,444.6442765268234,435.2431538258243,441.4330139160156,19562956
