,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-06-04,1409.0722382665938,1420.0284799827916,1400.506473605418,1417.8372802734375,8126827,1519.7346010168856,1533.8190332918903,1518.158749909477,1527.8109130859375,4548307,947.6901200517409,958.6914401720352,947.6407989299088,957.6553955078125,12961542
2025-06-05,1422.3193687346825,1448.913106617055,1417.9368477633755,1436.662109375,13716817,1524.5607331925255,1544.0621159555858,1518.3556767230737,1530.8642578125,6948539,961.0100588418235,966.3873858970264,957.1620478647775,961.7993774414062,22255418
2025-06-06,1435.2676355449807,1445.7258660607492,1431.28354772945,1437.7576904296875,8182161,1531.2581829658582,1545.2441474823067,1519.8331118292815,1540.2210693359375,3960020,959.0366899431259,984.8379583134906,958.3953347348495,976.1552734375,30127008
2025-06-09,1451.204075048637,1451.70208605586,1439.5506661134996,1443.0367431640625,7885125,1554.2069160448225,1564.0561360451065,1547.3124620446238,1549.183837890625,2903202,984.196594423998,984.196594423998,974.7739724063232,976.2539672851562,13202588
2025-06-10,1444.2318404180787,1448.1163503747662,1430.2875329933524,1432.777587890625,7913181,1560.116482612782,1583.2621501262925,1553.7144894707471,1571.935546875,8591925,978.1780428487654,978.1780428487654,967.472709657825,969.5447387695312,15533126
2025-06-11,1440.0485867347081,1462.7578142878924,1437.3592545136698,1443.13623046875,8195700,1566.1244242034918,1609.9534525332194,1566.1244242034918,1606.5062255859375,10597410,970.6793723493836,970.6793723493836,960.516752091058,962.194091796875,11096394
2025-06-12,1447.7179200254843,1451.2039968882907,1428.6939248911115,1435.865234375,8828114,1592.6188275892266,1603.452969273507,1574.0037782857437,1584.345458984375,10483574,961.9966994408974,967.4233474890254,954.7447484104943,958.74072265625,16349130
2025-06-13,1418.335338487147,1429.7895915718395,1408.6739736495979,1422.2198486328125,9757276,1552.2369998927122,1584.7394243828517,1546.5244044661895,1577.844970703125,6968315,947.19676434732,953.6100757725884,943.7434428106371,946.0127563476562,12117762
2025-06-16,1421.223780491138,1436.6621211041454,1418.7337255535563,1432.0804443359375,8458093,1575.875214344727,1610.1505483486199,1573.01891647278,1599.31640625,5591842,949.1700746468088,956.520728121515,947.2460692080249,954.7940673828125,16513746
2025-06-17,1442.2398094911548,1442.2398094911548,1420.12817043809,1425.506591796875,10366599,1596.2630097727385,1622.5604988569514,1591.2399317053334,1615.173583984375,7622083,955.5834055099792,957.852719054467,946.7527569357399,951.9327392578125,16978736
2025-06-18,1424.3114328610282,1437.0605628519918,1420.028489708749,1424.4110107421875,6681735,1596.5585788351507,1619.9011823893957,1596.5585788351507,1608.2791748046875,5629707,945.7167603313338,955.2380851367438,945.7167603313338,954.0540771484375,18433816
2025-06-19,1424.4110453044384,1434.1721095891817,1420.0285241646616,1427.598388671875,10007230,1599.4148737815738,1605.4228739879738,1587.2018168292147,1593.997802734375,5147760,954.0540746334422,960.4180648603083,949.9593979158449,954.7447509765625,16876220
2025-06-20,1425.3075053013417,1465.148385952672,1422.4190171371765,1460.367431640625,29010635,1594.58871180959,1606.1122510729595,1584.6410236941556,1598.429931640625,9202821,952.9193918485255,971.8140179089729,952.9193918485255,969.2486572265625,32900408
2025-06-23,1447.2199506188397,1457.9770367383994,1436.2637087352834,1451.0048828125,5989078,1576.8601291540897,1576.8601291540897,1551.6461498856431,1560.116455078125,7943676,961.2073364257812,965.8939867961492,957.9513597916495,961.2073364257812,11739518
2025-06-24,1459.1721495093714,1469.1323689599471,1437.359244595668,1445.0286865234375,16402744,1576.860073737694,1584.739449496533,1552.827953627288,1557.7525634765625,8083992,969.3966711141703,976.3033140635843,964.7593416610487,967.3740234375,22625322
2025-06-25,1458.1762135192969,1466.5428226679085,1454.690136506102,1461.463134765625,7525851,1566.025955644839,1595.4751470327865,1561.199813873949,1590.550537109375,7813533,969.8900392545883,977.7833457795492,968.854054817417,976.8953247070312,18405932
2025-06-26,1463.2558362824063,1492.8377614283193,1459.2717484446844,1489.3516845703125,14657893,1584.5425210067874,1599.5132869304996,1582.3756205245834,1591.6339111328125,6519233,977.4873577522009,1000.032590400823,976.7966813877978,997.41796875,50084830
2025-06-27,1493.4353527246628,1515.9454247275912,1490.9452978220222,1509.3717041015625,11117052,1594.5886581952298,1605.0288069577266,1578.238977654369,1583.7545166015625,8912268,1004.0015037809444,1007.393088107433,994.2258430942326,1004.9491577148438,28213384
2025-06-30,1507.7781788170053,1518.734421010171,1490.0489382705405,1494.630615234375,8409527,1590.648993297183,1590.648993297183,1570.064099926214,1577.6480712890625,6294505,1003.2533964547342,1004.400566128524,995.2732550959096,998.2658081054688,13649020
2025-07-01,1494.630607775488,1525.3081343971446,1494.132596769193,1522.320068359375,10368523,1584.7395342639384,1593.308307768125,1576.3676970723639,1582.57275390625,4178937,1000.0114368496795,1005.4977838847651,999.5126780283082,1003.5526123046875,14389386
2025-07-02,1522.3200879079554,1523.9136988316197,1502.6983810571346,1512.75830078125,6361002,1593.6038341220215,1624.1364168524187,1579.2239966239758,1586.2169189453125,8653641,1007.4429706558585,1007.4429706558585,986.4950998423908,990.5350341796875,18878250
2025-07-03,1514.7502729656235,1525.8060926058627,1506.9812529023668,1511.76220703125,11283291,1594.0962765801005,1607.786716594206,1590.6490495377586,1594.293212890625,5259695,994.9739612315547,1001.507689459166,989.6871300276722,991.0836181640625,16860506
2025-07-04,1517.9375659885409,1523.913698138102,1511.1645675851503,1521.2244873046875,6603501,1600.4981989662078,1618.6207872342948,1587.9897380569496,1615.96142578125,4411273,991.0836632772651,999.2633203019867,987.5424877454124,992.1809692382812,7863944
2025-07-07,1520.5271677380254,1538.65484117058,1518.933556847784,1535.367919921875,7251074,1615.2721260131761,1619.2118141254034,1598.5284515362102,1602.4681396484375,3294523,992.0312782906421,996.7196233059492,989.4377568185034,991.2332763671875,11349426
2025-07-08,1529.8897875590692,1538.7544076502807,1524.1128113419518,1531.4833984375,7171261,1603.4529602070286,1621.378491891406,1597.0509674297891,1613.9915771484375,4590681,986.0462146584523,1000.0114620081927,986.0462146584523,998.2159423828125,15224316
2025-07-09,1530.586937987722,1544.8301010282516,1504.0927774643353,1512.9573974609375,8870660,1613.1052929685202,1613.3022292758048,1599.1193284889714,1609.0670166015625,4580828,1001.0089360727129,1004.4005203490875,996.5699704674603,1003.1036987304688,13861428
2025-07-10,1513.654605815878,1518.6347158851345,1501.5031858807802,1511.16455078125,10047129,1614.1886858160015,1614.1886858160015,1582.868118202301,1591.43701171875,5330179,1005.4977851253348,1005.9965439473215,997.5176439735463,1000.6099243164062,17030310
2025-07-11,1505.9852937598653,1508.9733598189127,1484.3716645666439,1489.2520751953125,7234991,1555.2902357933656,1582.8680505457567,1539.433016356687,1570.85205078125,11391755,996.5201541247731,999.9117385623401,987.9913902076418,989.3878784179688,12516922
2025-07-14,1486.263916129696,1494.0329360309418,1473.2160528053016,1477.7977294921875,10311846,1567.7988696310574,1567.7988696310574,1536.2813659941348,1546.623046875,9173426,989.0387573242188,991.8816582943851,982.8541356715338,989.0387573242188,13088850
2025-07-15,1480.2878335086834,1490.5469086437597,1476.503022895967,1479.4910888671875,8132454,1541.5013602388092,1579.4208563061295,1540.4179701114037,1561.6922607421875,7614807,984.0511806165923,999.3131887778599,984.0511806165923,995.2732543945312,14498168
2025-07-16,1467.1403332858122,1485.068728397248,1465.6463003598592,1479.690185546875,10409983,1555.1918577227598,1587.6942841349517,1554.6993967165145,1583.6561279296875,6223491,1006.4952830829005,1008.8394251469304,993.826797075495,995.6722412109375,17994612
2025-07-17,1481.4830970988435,1483.674296790977,1468.0368005528198,1470.52685546875,11854613,1573.9053927711557,1585.7244570472844,1556.2752645133157,1559.6240234375,7374814,999.5126501495852,999.9116815490105,988.8890631972324,990.98388671875,22529158
2025-07-18,1478.8934598804974,1478.8934598804974,1463.2558421043927,1470.12841796875,10296318,1568.0942241264431,1575.1857343566385,1556.176692489401,1562.1846923828125,5161833,990.9838927216935,996.0213445308241,974.0759568696542,976.2705078125,16129446
2025-07-21,1459.1722169809668,1470.128458883213,1417.4388712363768,1422.9169921875,22442744,1556.1767745731315,1565.041072656143,1543.1758521432762,1560.4119873046875,3682661,986.6446826643673,998.5151670456409,985.7968170158388,997.7670288085938,22309078
2025-07-22,1421.721828538219,1426.2039275426996,1405.0881881707605,1407.179931640625,20396320,1541.4029254290974,1561.889351060241,1541.4029254290974,1547.2139892578125,8473741,1004.051390877723,1006.4953213272488,999.0139388595042,1001.058837890625,14836814
2025-07-23,1420.3273163904719,1420.3273163904719,1408.7734859597779,1418.932861328125,8354596,1552.5325511946266,1567.897309898412,1526.629055261839,1550.7596435546875,8035026,1003.0039954915454,1012.3806857402005,999.0139248978445,1009.6375122070312,13634916
2025-07-24,1413.554298653669,1417.3392306864348,1390.4466381154343,1397.3192138671875,14740507,1556.1767861186595,1558.1466301517212,1524.8562179010848,1529.0914306640625,14169664,1016.3208076773761,1016.3208076773761,1001.7072110041944,1004.5999755859375,19107176
2025-07-25,1393.3351272649268,1395.4267490386208,1378.593953801798,1386.1636962890625,11854722,1520.12860228797,1526.1366022975346,1488.512630894258,1492.84619140625,10851259,1007.5,1007.5,999.5,1002.2999877929688,9306598
2025-07-28,1386.7614543919697,1402.199795115413,1379.490445288333,1382.080078125,7748361,1491.0734115180542,1496.392014262957,1460.14683725966,1493.1417236328125,6439855,1001.5,1010.7000122070312,1000.25,1004.25,12059580
2025-07-29,1377.4984422704579,1414.550412474214,1377.4984422704579,1411.4627685546875,10750072,1490.0884773327002,1494.3235696797126,1473.5417400906863,1490.8763427734375,7070448,999.9500122070312,1013.25,998.1500244140625,1010.7999877929688,19895696
2025-07-30,1412.458776601272,1417.6381639620695,1395.7256799199,1404.4906005859375,7209849,1496.9830114866083,1498.7557989957106,1483.2925712781332,1496.0965576171875,5719051,1014.0,1016.2999877929688,1008.5,1012.9000244140625,15154036
2025-07-31,1382.5780559389787,1397.0203743336986,1376.7015020683227,1384.669677734375,17065827,1486.936711768862,1504.0743788045277,1474.428250322285,1486.247314453125,6851407,1007.2999877929688,1015.7000122070312,1004.0,1009.0999755859375,22183032
2025-08-01,1381.3828853186424,1400.3073026227253,1378.7932525308158,1388.15576171875,10321171,1471.3749358302919,1476.1024890867666,1443.4031282013243,1447.4412841796875,8702978,1007.0,1014.1500244140625,1004.6500244140625,1006.0999755859375,11317258
2025-08-04,1389.5502251510159,1410.466686507784,1386.1637261382157,1405.885009765625,6312820,1439.4634841975633,1460.4423706154291,1429.1218033326475,1458.177001953125,8610216,1005.0499877929688,1009.25,994.0499877929688,996.0,13933946
2025-08-05,1405.38696851784,1405.38696851784,1382.5780415934858,1386.1636962890625,9315972,1456.4040844682859,1456.4040844682859,1433.0614816224124,1438.2816162109375,10213323,993.25,997.2000122070312,982.75,988.7999877929688,23978058
2025-08-06,1386.3630773472378,1390.3471654369864,1377.797312271222,1387.259521484375,5834312,1430.1067078263497,1434.14486387826,1408.7339490588547,1415.037353515625,10566934,985.5499877929688,994.0,985.0,992.6500244140625,14080204
2025-08-07,1382.1796145349972,1388.1557462486337,1360.5659868045632,1383.8729248046875,9976705,1408.4383894942564,1420.2574529025999,1392.876574581379,1415.234375,9892020,990.0499877929688,1000.7999877929688,988.4000244140625,997.7000122070312,13081186
2025-08-08,1379.4904158119157,1391.6418351007062,1359.569976594415,1362.35888671875,8793606,1403.5138318764698,1411.590144080286,1395.7329241309972,1401.6424560546875,10048009,993.5499877929688,996.4000244140625,985.0,986.9500122070312,13895264
2025-08-11,1364.5501609316866,1382.4785572067015,1355.7851185633474,1380.6856689453125,9997486,1398.4907470266712,1411.7871937906966,1392.6796832838538,1406.66552734375,6625368,987.9500122070312,998.7999877929688,986.5499877929688,997.7999877929688,9105854
2025-08-12,1376.4028464986861,1396.3232867936674,1369.7294260490362,1374.9088134765625,12244664,1406.6655976905836,1419.2726477892124,1399.5742071536924,1402.62744140625,9899184,995.9500122070312,998.0,983.75,984.9500122070312,12937802
2025-08-13,1382.4785186353236,1386.2634508216695,1372.0202877666845,1377.0999755859375,7457021,1403.5138705026145,1412.3781686321047,1400.953097311154,1405.0897216796875,10318063,997.0,997.0,984.5499877929688,990.1500244140625,13577396
2025-08-14,1377.300048828125,1380.699951171875,1370.0999755859375,1373.800048828125,7126128,1404.6956380205245,1447.835267553816,1404.6956380205245,1425.8714599609375,12902347,989.0,998.0,985.5999755859375,995.5499877929688,17511716
2025-08-18,1390.0,1394.9000244140625,1377.0,1381.699951171875,11785109,1442.6151494914589,1442.6151494914589,1408.0444126749926,1414.1510009765625,7254561,1005.0,1013.2999877929688,997.7999877929688,1001.7999877929688,19284796
2025-08-19,1390.0,1421.0,1389.0999755859375,1420.0999755859375,14384719,1411.0977408332749,1427.5460108318366,1411.0977408332749,1418.2877197265625,3986094,999.1500244140625,1003.0499877929688,993.3499755859375,995.5499877929688,12352438
2025-08-20,1413.0,1424.9000244140625,1410.0,1413.0,8725641,1418.9770874002822,1476.3980885005715,1418.9770874002822,1473.6402587890625,10413061,993.5,996.0,989.5,994.0999755859375,9950228
2025-08-21,1425.0,1431.9000244140625,1420.300048828125,1424.800048828125,11021323,1485.262351237006,1485.262351237006,1461.9197483180794,1473.8372802734375,6565539,998.75,998.75,991.5999755859375,995.5999755859375,12439850
