,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-07-09,3325.3867588452995,3329.2875057764963,3283.4537293349335,3299.8369140625,2034938,407.65649685248883,411.6723104890166,406.9218924227146,410.83978271484375,9930533,1425.2030375827696,1427.683895203639,1415.6765685457565,1420.93603515625,8827347
2025-07-10,3296.130925499427,3314.659472122057,3272.7264455550526,3298.081298828125,3035012,411.67231432927395,411.67231432927395,407.8523772370402,408.29315185546875,6220360,1425.7985078190466,1427.981614021397,1411.2109926594833,1413.1956787109375,7795964
2025-07-11,3218.0184502225306,3252.247598137654,3180.1813972680684,3184.959716796875,7635550,408.44007762067145,409.4685119028319,406.9708687083669,408.2441711425781,8578844,1411.111783317687,1417.0658414751456,1403.7684206963636,1411.0125732421875,7158015
2025-07-14,3184.9597625910983,3190.8108827918168,3120.5974403831947,3142.734130859375,3924009,408.4890354163033,411.3295298660291,407.9992991168515,410.7908020019531,6896989,1413.9896019530586,1413.9896019530586,1405.2569348701418,1412.1041259765625,5846154
2025-07-15,3126.448660244279,3178.523536457564,3126.448660244279,3171.599853515625,2590889,412.26001519971453,413.72922411339215,410.3990232206159,413.4353942871094,8532755,1410.218682168871,1422.8215115677394,1408.134785993891,1419.844482421875,6041457
2025-07-16,3157.607249475903,3175.1222359666176,3151.344969328223,3163.576171875,2540733,413.43538226908703,416.7166213924788,411.67231368924485,415.8840637207031,9780773,1415.081187967311,1418.25663727007,1408.2339967016344,1415.4781494140625,5649093
2025-07-17,3154.7696780470374,3172.2846643823304,3135.199754145851,3140.18994140625,2947640,417.05940633871836,417.1573595734722,414.3168951123935,415.2474060058594,7240795,1410.1194736013367,1412.3025798563917,1398.7075285299677,1407.8370361328125,12927394
2025-07-18,3155.6502438038765,3159.3685771406017,3118.46738821797,3121.304931640625,3432645,416.4717411939595,416.4717411939595,411.4764251990089,414.072021484375,6730256,1404.9592604817603,1418.0581395587762,1397.7151081655259,1414.8826904296875,11297246
2025-07-21,3121.4028477301345,3128.839514334287,3084.2199924907163,3090.28662109375,3844346,413.3374323697135,414.0720368111289,409.8113250726935,411.4764404296875,4822343,1436.9126621837045,1456.4617708047458,1425.9968891975022,1454.576416015625,13867136
2025-07-22,3091.65673828125,3111.7159107005,3086.764257203384,3091.65673828125,3198036,411.47644544690354,411.77027527059994,406.6770356826959,407.4606018066406,9869507,1462.8128219007424,1470.6523559877205,1458.4464883845856,1462.316650390625,8930165
2025-07-23,3091.6566291573,3113.5748480562365,3089.6996367952283,3110.7373046875,1922875,408.53801949465566,409.32158560296745,405.5016485154682,406.4321594238281,12196187,1471.5454755170424,1478.5910866693491,1461.3242940475627,1477.2017822265625,11974174
2025-07-24,3097.0385335433134,3105.4534578423713,3072.478182452152,3080.30615234375,2934778,407.3136721952123,407.3136721952123,401.04505375648824,401.5347900390625,9005157,1476.3086281822896,1477.3009711792895,1466.782159638216,1472.0416259765625,6700578
2025-07-25,3072.4780444334683,3089.014534530361,3058.3877948178133,3068.368408203125,2568917,401.58375275125957,401.8286208931811,399.3799394739661,400.9960632324219,5824089,1488.5144734435703,1488.5144734435703,1462.31659448384,1465.789794921875,8696077
