,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-09-10,815.9705333718649,815.9705333718649,808.0772271240113,814.1698608398438,26606646,466.6968459549575,469.52308122545986,463.8249866314957,468.2467346191406,11332248
2024-09-11,814.1945707781381,815.2305552034559,808.6692201411954,810.9879150390625,22226684,467.69970063527967,473.6257131371341,466.7424045783741,468.93048095703125,15497555
2024-09-12,815.970556634334,823.8638631072175,812.541925723635,822.1865234375,32424046,469.61425271712204,474.5374027816373,463.6426451989518,473.6257019042969,19085324
2024-09-13,825.8371886289187,825.8371886289187,817.4752411837702,821.8658447265625,23860532,473.6257080193676,474.0815440167886,466.7879946924352,468.4746398925781,9165077
2024-09-16,822.383822656841,827.7118283198007,820.9285184448568,824.3324584960938,15172820,470.34362273274417,471.3464850740398,464.69112327323506,465.9674987792969,7821668
2024-09-17,827.8104775064535,827.8104775064535,820.9778464556504,823.2718505859375,20127122,465.9218864737128,468.20112423719047,461.5457337870447,462.9132995605469,10889862
2024-09-18,824.7764529489335,838.1210972952287,824.4064542356848,836.0984497070312,40917342,463.0044794093549,467.15268536936793,460.4973235485926,462.5486145019531,5638729
2024-09-19,838.2691083056365,848.0370989791965,838.2444778560398,842.8571166992188,30651776,464.96459551918156,469.34074825372676,462.685357730768,463.369140625,14461616
2024-09-20,846.8037464482039,860.8390072921377,842.3884524296358,858.989013671875,60623386,466.78799784894,471.6655817468218,463.14122316210313,468.97607421875,24725118
2024-09-23,862.8370939539058,871.3963864151646,858.5204418257773,868.1651000976562,26965350,469.9333359228278,473.58011056733517,468.24671962512645,471.3008728027344,8105508
2024-09-24,870.7303607683197,878.9443447710721,865.4270455398441,872.2350463867188,33039036,471.3464925584321,472.0758417465427,468.7481752404364,469.75103759765625,7015487
2024-09-25,868.3376691203036,882.0769427901153,868.3376691203036,877.686279296875,31965312,469.978932353214,473.44338416672934,467.061506850851,471.847900390625,8802667
2024-09-26,874.7017352717152,882.0770195965482,872.2350769395101,879.8323364257812,31899644,471.93907909068867,477.50044603773256,471.3464864947561,476.5887451171875,16086557
2024-09-27,876.6503084858455,877.2422823547212,863.3303544458242,864.6376953125,35613502,474.30950915137026,481.83097676370437,474.30950915137026,476.54315185546875,17916386
2024-09-30,862.738402689165,864.0456833682003,850.701098537286,854.47509765625,26383534,474.62860125985065,478.047458146118,468.65699327542035,472.39495849609375,10936940
2024-10-01,850.5037447767241,859.3837142697525,848.5797393423385,851.5890502929688,24572284,472.39496373878205,473.85366215719455,468.61143220996877,470.6171569824219,5285319
2024-10-03,846.3844351066934,851.5644172954591,825.5164827720641,829.7838134765625,48473398,463.6426448944806,470.161249819359,463.2323751658065,467.4717712402344,16481353
