,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-07-04,406.383156862037,406.48111009570783,403.2978242937535,404.0813903808594,8256733,991.0836632772651,999.2633203019867,987.5424877454124,992.1809692382812,7863944,1416.0734952431667,1433.3402880878325,1410.2186471744621,1431.7525634765625,5066503
2025-07-07,404.52218073930493,408.63597758463175,403.54270814671577,407.6075134277344,6845218,992.0312782906421,996.7196233059492,989.4377568185034,991.2332763671875,11349426,1425.9968814549877,1429.8670433562065,1418.6535190770169,1424.706787109375,5177477
2025-07-08,407.60752214922184,409.5175057020906,406.1383132289018,408.635986328125,6807192,986.0462146584523,1000.0114620081927,986.0462146584523,998.2159423828125,15224316,1421.035188079707,1433.935647189369,1419.050502062836,1430.9586181640625,5315847
2025-07-09,407.65649685248883,411.6723104890166,406.9218924227146,410.83978271484375,9930533,1001.0089360727129,1004.4005203490875,996.5699704674603,1003.1036987304688,13861428,1425.2030375827696,1427.683895203639,1415.6765685457565,1420.93603515625,8827347
2025-07-10,411.67231432927395,411.67231432927395,407.8523772370402,408.29315185546875,6220360,1005.4977851253348,1005.9965439473215,997.5176439735463,1000.6099243164062,17030310,1425.7985078190466,1427.981614021397,1411.2109926594833,1413.1956787109375,7795964
2025-07-11,408.44007762067145,409.4685119028319,406.9708687083669,408.2441711425781,8578844,996.5201541247731,999.9117385623401,987.9913902076418,989.3878784179688,12516922,1411.111783317687,1417.0658414751456,1403.7684206963636,1411.0125732421875,7158015
2025-07-14,408.4890354163033,411.3295298660291,407.9992991168515,410.7908020019531,6896989,989.0387573242188,991.8816582943851,982.8541356715338,989.0387573242188,13088850,1413.9896019530586,1413.9896019530586,1405.2569348701418,1412.1041259765625,5846154
2025-07-15,412.26001519971453,413.72922411339215,410.3990232206159,413.4353942871094,8532755,984.0511806165923,999.3131887778599,984.0511806165923,995.2732543945312,14498168,1410.218682168871,1422.8215115677394,1408.134785993891,1419.844482421875,6041457
2025-07-16,413.43538226908703,416.7166213924788,411.67231368924485,415.8840637207031,9780773,1006.4952830829005,1008.8394251469304,993.826797075495,995.6722412109375,17994612,1415.081187967311,1418.25663727007,1408.2339967016344,1415.4781494140625,5649093
2025-07-17,417.05940633871836,417.1573595734722,414.3168951123935,415.2474060058594,7240795,999.5126501495852,999.9116815490105,988.8890631972324,990.98388671875,22529158,1410.1194736013367,1412.3025798563917,1398.7075285299677,1407.8370361328125,12927394
