,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2024-08-12,4005.052443408008,4013.573831585472,3963.7238032102878,3972.529052734375,936912,457.95473966191645,465.4011447621894,457.95473966191645,460.37481689453125,9425644
2024-08-13,3988.956299705632,4008.839537848005,3960.5516737879557,3973.760009765625,1495593,461.6313768042684,463.39992082169977,454.4642172856773,456.0931091308594,8056478
2024-08-14,3985.1689766880017,4077.2001486736017,3965.42766940822,4066.832275390625,3226545,457.9081745197849,464.47035162635643,456.0000373291409,458.140869140625,9609981
2024-08-16,4118.670675923561,4191.575880991633,4095.0949293450403,4181.2080078125,3457058,460.2817396441816,469.31051531176115,458.55974631588987,467.8677673339844,13643352
2024-08-19,4185.894947757169,4255.249574521071,4156.87498137627,4251.2255859375,2055210,469.82246388684206,474.057606447632,465.0288306148003,466.7508239746094,10591508
2024-08-20,4265.427758595415,4322.237007322546,4260.693654534821,4282.75439453125,2212298,466.3319395570424,468.56587282373647,463.2602997527288,464.2841796875,6888634
2024-08-21,4277.736579801988,4317.503055311436,4253.639804359008,4309.455078125,1896990,465.40113299398797,473.77837539474945,464.5168757294204,470.427490234375,8801221
2024-08-22,4317.502516242781,4318.402180859588,4258.042359497642,4262.5869140625,1829872,472.7079312298726,473.3129431304896,466.7507956705184,469.63629150390625,8686423
2024-08-23,4260.6939984141445,4266.374923745363,4218.087058430003,4226.513671875,1809253,470.10172179736895,471.8702364304628,465.35463912442765,470.7998352050781,8195369
2024-08-26,4250.279233485934,4310.070883859805,4246.491949695793,4263.01416015625,1844164,470.9859714327483,472.8475874897276,467.26276881861634,470.70672607421875,8126402
2024-08-27,4265.428242149461,4270.162346746741,4248.1959164894,4257.99560546875,930697,472.42870096422115,472.47525168876325,465.40113454893714,465.9596252441406,8260450
2024-08-28,4259.509780281284,4319.869602119113,4220.263875901587,4266.42138671875,1848058,465.77346700783545,467.54201110027503,462.1433658703206,462.88800048828125,8081932
2024-08-29,4222.821074859477,4313.715878264525,4222.821074859477,4271.8662109375,2133641,463.5395558890962,472.56833161488777,462.9345144591377,470.14825439453125,19389694
2024-08-30,4260.693828489569,4348.038051973605,4249.14242918416,4311.58544921875,3637222,467.21619895900704,473.91799878978713,465.58730710072587,467.169677734375,15523349
2024-09-02,4332.652011694428,4344.013861375445,4272.055480062339,4280.6240234375,1216500,469.12436710280446,477.40850809281204,468.47280445752887,474.7557067871094,16497266
2024-09-03,4280.623781915076,4313.620577631577,4256.811332431798,4272.38671875,1717263,474.7556771661306,480.2474233336446,472.75446813038855,474.1506652832031,12481552
2024-09-04,4238.869860215786,4248.3852249914535,4200.760320366018,4241.04736328125,1265505,465.40115282136196,474.75572483416937,465.3546315948188,471.311767578125,8739052
2024-09-05,4242.704111797141,4259.746886626945,4217.281880213047,4237.9228515625,1688793,473.1733400299588,476.47770400804217,471.9633161786824,475.8261413574219,11318636
2024-09-06,4236.029645395859,4278.6365868505345,4203.8848901946485,4219.744140625,1649179,476.57078709097436,476.57078709097436,462.74837792975984,466.9835205078125,14245025
2024-09-09,4218.0871166522065,4251.462553433798,4194.890004562873,4212.9267578125,1184938,467.26274749161126,477.17578026799583,465.72692758962387,476.33807373046875,14265060
2024-09-10,4206.204473662924,4298.5195066181295,4204.310831961278,4268.12646484375,1385591,476.477687995446,479.3631543513727,473.54564141627685,478.06005859375,11332248
2024-09-11,4281.003340307267,4307.419549702135,4233.4727484543055,4241.14208984375,1325919,477.50157364424496,483.5517812694099,476.5242149395142,478.7581481933594,15497555
2024-09-12,4270.399124104948,4291.560664475195,4195.647426325353,4277.453125,2742216,479.4562685547481,484.4825963244237,473.3595101165837,483.5517883300781,19085324
