,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2012-09-17,524.8765675589293,526.0978743113941,494.25182864442104,496.69439697265625,5094390.0,138.89638030311284,139.10955196191804,135.86713776015318,136.49542236328125,21086848,116.35087840205641,116.4808539195381,108.79056886257433,109.83038330078125,29568650.0
2012-09-18,497.76773339348887,497.76773339348887,478.35666029949374,481.039794921875,7220206.0,136.4954124894609,137.32565201362584,135.49688172508317,135.8559112548828,10039176,110.02534128252461,111.8883442940086,109.09384492595926,110.13365936279297,13665518.0
2012-09-20,479.2634333208,494.7701125153243,478.00512646824546,489.25579833984375,4042506.0,135.08176618779197,136.87687271520448,134.8573778718654,136.1812744140625,10491328,110.350309415993,111.47677444464395,109.87373241471417,111.10850524902344,11276169.0
2012-09-21,490.32892500176655,493.06758146570525,480.4846067937613,482.61260986328125,4247758.0,136.58514677875831,141.1402260570656,135.77734076522114,140.27633666992188,23602848,111.78008084890764,114.61790651499805,111.28183601908368,113.33979797363281,18714031.0
2012-09-24,484.8147914632477,485.9250543444612,472.6018997698987,477.20947265625,4937020.0,140.3548984197181,142.91293082358388,139.7490471982155,142.48658752441406,17574880,113.29643950012799,113.33976467702138,110.06867777733025,110.84854125976562,11751520.0
2012-09-25,477.4499970129537,484.72222728606687,474.563340879558,478.5972595214844,3823694.0,142.03779821599872,143.36169470445697,140.50074379252334,142.9129180908203,11686144,110.87020978297281,113.42641583450373,110.480272889815,112.9931640625,11113459.0
2012-09-26,479.3374388389036,482.96431536983573,474.4523006161911,475.78460693359375,3292812.0,142.45289971416625,142.84557921969778,140.05195597966147,141.5329132080078,10730508,113.81631296128317,114.63950141331414,112.8414915774872,114.29290008544922,15978962.0
2012-09-27,473.7490602907638,480.9287677441391,466.7173968916575,470.5848388671875,5605398.0,142.03780069950471,142.93535394247155,140.28757461483445,141.5441436767578,15861744,114.42288627397016,116.1125885018847,113.5563725749974,115.65766906738281,19205494.0
2012-09-28,473.26803821157824,482.964315204776,472.41681866582115,479.5965270996094,2912996.0,141.79097224392657,142.32949594656526,140.4895091475061,141.1739044189453,11007688,115.4627074891654,118.21388169490217,115.28940679878094,118.01891326904297,14714650.0
2012-10-01,479.2633580546923,484.74067164599774,478.5417054317768,482.2055358886719,1795618.0,141.14026290538135,141.81342791128935,139.12076788765728,139.76026916503906,8054784,117.62898846220021,119.14537982393259,117.23906190304565,118.3871841430664,7859325.0
2012-10-03,481.4837828026177,490.36588179359603,481.4837828026177,489.4961853027344,2318230.0,140.01829369767808,140.64657817387328,138.66074727514078,138.99732971191406,11032228,118.49550888892773,118.60381667894013,115.93929262899418,117.0874252319336,13329816.0
2012-10-04,488.5155253064084,489.1261787483812,484.31504099915145,487.4607849121094,1319284.0,139.45733878882388,142.23975939333167,139.4461221121073,141.65634155273438,12652064,117.1090884400936,119.7736123869968,117.1090884400936,119.2753677368164,10281333.0
2012-10-05,484.9071324997885,488.2749196146101,390.4423009252256,482.5940856933594,3836110.0,143.15972293727364,143.30558079780602,113.32729831021135,139.65927124023438,14947024,119.79530169686217,121.31170378702548,95.4246531248174,119.42703247070312,12710975.0
2012-10-08,484.81454863444986,486.7575077034047,475.7288838698994,478.4120178222656,1685408.0,139.99586205210542,139.99586205210542,138.34659987448183,139.27781677246094,9290672,119.44868171241893,121.0517236270008,118.73381111276188,120.33685302734375,8934222.0
2012-10-09,480.33651796527414,480.6696057108651,475.56238074964756,479.2077331542969,1291154.0,140.2314723218072,141.47682466099275,139.5695240906225,140.41098022460938,4310768,120.66180566627969,121.85326361667768,120.35852939282324,121.3333511352539,6003945.0
2012-10-10,475.93267036565237,481.761550270986,475.56258275261536,477.1724548339844,1163978.0,140.01828239695558,140.01828239695558,138.2680566061083,138.66073608398438,4295016,121.0950385271906,122.09152785375254,120.44516090009844,121.74492645263672,6227474.0
2012-10-11,477.50556082859185,481.6875690851811,475.95121086557776,477.20947265625,1635526.0,139.37883469695404,140.8710090672339,138.77298338842587,140.2090606689453,9812932,120.90010078649992,123.32633160037214,119.73031056201312,122.82808685302734,9131999.0
