,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-06-27,421.0,422.0,417.79998779296875,418.6499938964844,21409935,3369.2703330730474,3380.387367158931,3345.8658502962735,3355.71533203125,1778433,1594.5886581952298,1605.0288069577266,1578.238977654369,1583.7545166015625,8912268
2025-06-30,419.79998779296875,420.75,415.79998779296875,416.45001220703125,12317124,3354.544471150048,3378.924137465807,3344.890218522079,3376.09619140625,1468351,1590.648993297183,1590.648993297183,1570.064099926214,1577.6480712890625,6294505
2025-07-01,417.0,418.8500061035156,414.8999938964844,415.1000061035156,13670465,3369.2699264830403,3398.525526423559,3328.7996798986564,3344.59765625,2375183,1584.7395342639384,1593.308307768125,1576.3676970723639,1582.57275390625,4178937
2025-07-02,416.8999938964844,416.8999938964844,411.70001220703125,412.95001220703125,15990899,3400.671024568939,3403.3039810516498,3335.1385257152824,3338.356689453125,3090585,1593.6038341220215,1624.1364168524187,1579.2239966239758,1586.2169189453125,8653641
2025-07-03,414.0,416.0,411.25,413.3500061035156,14185298,3344.8904436190446,3350.058980842342,3313.294489180619,3316.4150390625,2531870,1594.0962765801005,1607.786716594206,1590.6490495377586,1594.293212890625,5259695
2025-07-04,414.8999938964844,415.0,411.75,412.54998779296875,8256733,3323.4365958638878,3341.9651449605467,3305.9808474743313,3334.94384765625,1109320,1600.4981989662078,1618.6207872342948,1587.9897380569496,1615.96142578125,4411273
2025-07-07,413.0,417.20001220703125,412.0,416.1499938964844,6845218,3333.480761079366,3341.0872649943594,3323.826269850942,3327.04443359375,1639174,1615.2721260131761,1619.2118141254034,1598.5284515362102,1602.4681396484375,3294523
2025-07-08,416.1499938964844,418.1000061035156,414.6499938964844,417.20001220703125,6807192,3320.510975827842,3340.0147113686808,3309.1987139810713,3321.68115234375,2325242,1603.4529602070286,1621.378491891406,1597.0509674297891,1613.9915771484375,4590681
2025-07-09,416.20001220703125,420.29998779296875,415.45001220703125,419.45001220703125,9930533,3325.387004876247,3329.287752096043,3283.4539722634377,3299.837158203125,2034938,1613.1052929685202,1613.3022292758048,1599.1193284889714,1609.0670166015625,4580828
2025-07-10,420.29998779296875,420.29998779296875,416.3999938964844,416.8500061035156,6220360,3296.1311694956757,3314.659717489882,3272.7266878187834,3298.08154296875,3035012,1614.1886858160015,1614.1886858160015,1582.868118202301,1591.43701171875,5330179
