,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-05-20,420.28570719839433,423.9403537817196,416.34251734774494,418.2660217285156,9868414,1524.8723866170074,1537.9843466293191,1513.2173110505078,1515.7425537109375,7143998,1439.0957378026826,1447.8284044606678,1424.5083444847762,1427.1876220703125,11352383
2025-05-21,419.90103464370577,421.4398441006694,415.4769684613164,416.438720703125,5776672,1522.832797268108,1525.8436681268927,1507.4869000940212,1523.41552734375,4157309,1431.8517946649677,1440.1875004165765,1427.485461067875,1433.637939453125,5510460
2025-05-22,416.43869651769444,416.43869651769444,406.7249935694986,409.8026123046875,19451749,1510.7890929485561,1515.936798484799,1495.7346211126817,1503.01904296875,6158990,1430.0655182967434,1434.2334317099203,1416.867428660744,1431.057861328125,7245933
2025-05-23,417.40046939575757,422.20923056391143,412.59170822760365,419.61248779296875,18536884,1505.447258808557,1541.5779455953386,1505.447258808557,1519.8218994140625,5038421,1431.1570706662649,1440.6836606711147,1423.4168677068544,1438.698974609375,5203706
2025-05-26,421.48791053602,426.58518556334417,420.0452822056058,425.9600524902344,13107662,1521.5700705826603,1538.275749801986,1517.782147363295,1535.070556640625,3170102,1446.8360701649403,1460.331910515487,1443.8590412139838,1449.4161376953125,5608725
2025-05-27,425.9600609253769,427.2103564467042,414.37095818169377,417.3042907714844,26986022,1534.487964353223,1537.401733466409,1511.6634396332652,1524.9696044921875,7775714,1441.3782192942826,1451.7978208795425,1424.7068083036186,1435.324951171875,14842959
2025-05-28,409.12572033536514,413.92513013654184,404.5221871211176,411.57440185546875,431851622,1535.556238237006,1542.063608140773,1524.8724187426308,1526.6207275390625,3623370,1436.5157355383742,1446.836127202333,1431.454810349359,1442.6683349609375,8618343
2025-05-29,413.337430183069,414.12099629331436,408.04828421108533,410.1541442871094,21478547,1543.3263431603168,1562.6543682753302,1531.2827406845122,1540.0240478515625,8609500,1445.4467442494526,1451.698553407669,1433.9355900375203,1445.3475341796875,15545514
2025-05-30,410.49697001748797,411.4274510468685,407.85238205791916,409.468505859375,30656239,1547.3124739974683,1548.297396005105,1531.652190030095,1539.1375732421875,13148092,1448.7216268807567,1449.7139699197687,1433.2410996992944,1434.7296142578125,11803975
2025-06-02,409.7133679967952,411.8192579553598,406.0403458241328,410.6928405761719,14973380,1536.4782943781508,1536.4782943781508,1515.7949327230604,1530.371826171875,4374509,1430.9586389930196,1448.8208134048605,1421.8291316367724,1439.3935546875,9458990
