,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-11,3884.1667849836185,3905.045339609273,3822.8847322165034,3831.149169921875,1810908,1246.2339539700604,1252.188012073483,1238.8410469458931,1243.15771484375,6586627,1877.4121478922664,1882.0807729858063,1711.6017282933285,1723.6138916015625,7226934
2025-02-12,3838.446649169052,3887.404606196338,3808.5303361658844,3818.1962890625,1678002,1247.5735208959845,1260.0274734986122,1235.119689428972,1242.2149658203125,8809352,1725.889991642642,1805.9706725919184,1676.080414091054,1779.487548828125,12795258
2025-02-13,3835.4501025039126,3851.3505477933163,3771.896462322554,3779.532470703125,2277310,1242.9592342670746,1256.3061987457909,1236.3601292961446,1239.337158203125,7263785,1782.378424963706,1792.66263921099,1729.8773858942106,1746.308837890625,5861415
2025-02-14,3793.886412954254,3816.1181040365336,3769.72153134308,3803.407470703125,1681975,1242.5126718509223,1253.8254065127483,1234.9212235163006,1250.451416015625,10368438,1772.7422973497887,1772.7422973497887,1683.3574613846022,1701.483642578125,7142661
2025-02-17,3727.674715397498,3802.585849960782,3727.3846896150562,3774.0712890625,1799806,1241.5699462890625,1248.5163471638045,1223.8069826822411,1241.5699462890625,8386151,1694.4890755603128,1739.1813711802045,1651.79037022762,1730.7745361328125,5759442
2025-02-18,3768.1750490618683,3793.3065270348457,3735.4075625604055,3743.81689453125,2149879,1243.3065364897366,1247.9705000138076,1227.5779245772142,1233.531982421875,8135042,1730.8743158336667,1736.8554517436085,1691.332280638037,1723.264892578125,3758523
2025-02-19,3742.8500136623115,3745.5081505528037,3642.2757324813897,3657.693115234375,4366672,1225.3947820253827,1254.7681118615644,1220.8300282561831,1251.9896240234375,10683412,1712.9308614018883,1885.6194850397542,1711.2528043147029,1871.0986328125,11830863
2025-02-20,3635.848185178673,3661.4629603766616,3625.988960412709,3653.150146484375,2888572,1245.7378271028595,1254.3216187366877,1237.203701075922,1240.379150390625,8398849,1889.7066022351135,1988.0631395345963,1862.2930629295436,1980.1380615234375,14665710
2025-02-21,3649.960586134303,3689.4942392872176,3648.8972369162293,3659.52978515625,1833931,1231.5968971791747,1235.1693078219741,1215.173692889092,1223.50927734375,7786428,1973.7416543091417,2009.478917476417,1898.1633716691415,1913.2325439453125,10079220
2025-02-24,3618.1114451391504,3637.491729934909,3547.4050866481334,3552.818115234375,2508516,1217.3071583182455,1222.467414805944,1200.9831637697991,1209.0211181640625,11522480,1877.4121275219804,1907.9823368713649,1856.1458261517666,1863.8714599609375,4462383
